company_id,company_size,h1b_history,wage_level,funding_recent,github_activity,fit_score,effort_hours_historical,callback,data_source,record_timestamp,funding_recent_asof_months_ago
1,enterprise,True,2.0,1,5.93,7.78,4.09,0,synthetic_v1,2026-07-01,1
2,midsize,True,3.0,0,3.45,6.07,4.43,0,synthetic_v1,2026-07-01,5
3,enterprise,True,4.0,1,10.0,3.68,1.39,0,synthetic_v1,2026-07-01,0
4,midsize,True,3.0,0,8.24,3.55,4.39,0,synthetic_v1,2026-07-01,0
6,enterprise,True,3.0,1,7.05,2.82,6.91,0,synthetic_v1,2026-07-01,5
7,enterprise,True,3.0,1,5.63,6.2,4.04,0,synthetic_v1,2026-07-01,4
8,enterprise,True,1.0,1,4.27,8.03,5.92,0,synthetic_v1,2026-07-01,0
9,startup,False,3.0,0,3.79,5.98,2.64,0,synthetic_v1,2026-07-01,0
10,midsize,True,2.0,0,3.2,1.93,4.72,1,synthetic_v1,2026-07-01,0
11,midsize,True,3.0,1,6.05,5.66,6.07,1,synthetic_v1,2026-07-01,4
12,enterprise,True,3.0,1,4.82,5.71,4.87,0,synthetic_v1,2026-07-01,5
13,midsize,True,4.0,1,4.83,9.77,4.84,1,synthetic_v1,2026-07-01,3
14,enterprise,True,4.0,1,7.97,3.38,3.34,0,synthetic_v1,2026-07-01,1
15,midsize,True,2.0,1,6.86,5.3,2.5,0,synthetic_v1,2026-07-01,4
16,startup,False,3.0,1,5.95,9.07,8.64,1,synthetic_v1,2026-07-01,0
17,midsize,True,3.0,0,2.62,6.81,6.3,1,synthetic_v1,2026-07-01,4
18,startup,False,2.0,0,5.54,7.01,5.35,1,synthetic_v1,2026-07-01,5
19,enterprise,True,1.0,1,6.26,6.21,1.07,0,synthetic_v1,2026-07-01,4
20,midsize,False,1.0,1,7.34,6.59,3.48,0,synthetic_v1,2026-07-01,5
21,enterprise,False,3.0,1,7.68,7.4,6.47,1,synthetic_v1,2026-07-01,3
22,midsize,True,2.0,1,3.72,4.54,5.55,0,synthetic_v1,2026-07-01,2
23,enterprise,True,4.0,1,7.13,7.58,7.21,0,synthetic_v1,2026-07-01,1
24,enterprise,True,2.0,1,8.36,3.53,0.73,0,synthetic_v1,2026-07-01,5
25,enterprise,True,4.0,1,8.8,6.59,5.41,1,synthetic_v1,2026-07-01,4
26,startup,False,2.0,0,3.75,6.32,6.32,0,synthetic_v1,2026-07-01,1
27,midsize,False,3.0,0,7.76,4.89,1.45,0,synthetic_v1,2026-07-01,5
28,startup,False,1.0,1,7.01,5.96,4.56,0,synthetic_v1,2026-07-01,0
29,startup,False,3.0,1,4.74,4.88,4.34,0,synthetic_v1,2026-07-01,3
30,midsize,True,3.0,1,7.55,4.07,2.99,0,synthetic_v1,2026-07-01,1
31,enterprise,True,4.0,1,10.0,5.36,1.44,1,synthetic_v1,2026-07-01,3
32,enterprise,True,3.0,1,10.0,4.01,2.92,0,synthetic_v1,2026-07-01,2
33,startup,False,1.0,0,1.79,6.58,4.46,0,synthetic_v1,2026-07-01,2
34,midsize,False,2.0,1,4.53,3.93,3.14,0,synthetic_v1,2026-07-01,4
35,midsize,True,1.0,1,8.87,7.28,4.52,0,synthetic_v1,2026-07-01,4
36,startup,False,1.0,0,2.1,3.87,2.66,0,synthetic_v1,2026-07-01,2
37,startup,False,3.0,1,2.82,4.98,3.93,0,synthetic_v1,2026-07-01,5
38,midsize,False,3.0,0,4.12,4.88,4.59,0,synthetic_v1,2026-07-01,2
39,startup,False,3.0,1,5.96,8.39,5.57,0,synthetic_v1,2026-07-01,0
40,midsize,False,3.0,0,4.82,6.59,4.34,0,synthetic_v1,2026-07-01,0
41,midsize,True,3.0,0,3.83,5.62,4.51,0,synthetic_v1,2026-07-01,1
42,enterprise,False,3.0,1,6.49,6.9,2.26,1,synthetic_v1,2026-07-01,4
43,enterprise,True,1.0,1,6.42,2.21,3.04,0,synthetic_v1,2026-07-01,3
44,startup,False,2.0,0,2.42,5.92,4.55,0,synthetic_v1,2026-07-01,2
45,enterprise,True,3.0,1,10.0,9.6,6.82,1,synthetic_v1,2026-07-01,2
46,enterprise,True,3.0,1,8.24,6.24,6.18,0,synthetic_v1,2026-07-01,5
47,midsize,False,1.0,1,7.8,6.12,1.74,0,synthetic_v1,2026-07-01,3
48,startup,False,2.0,1,4.32,6.99,2.23,0,synthetic_v1,2026-07-01,0
49,midsize,False,3.0,1,5.87,7.61,5.98,0,synthetic_v1,2026-07-01,0
50,startup,False,1.0,0,2.72,2.4,2.43,0,synthetic_v1,2026-07-01,2
51,startup,False,2.0,0,0.0,2.97,3.04,0,synthetic_v1,2026-07-01,2
52,startup,False,3.0,0,1.52,6.38,4.13,0,synthetic_v1,2026-07-01,5
54,midsize,False,2.0,0,0.95,8.36,7.42,0,synthetic_v1,2026-07-01,4
55,enterprise,True,3.0,1,5.55,5.43,4.99,1,synthetic_v1,2026-07-01,3
56,enterprise,True,2.0,1,10.0,2.52,2.12,0,synthetic_v1,2026-07-01,2
57,midsize,False,3.0,1,6.12,3.72,0.25,1,synthetic_v1,2026-07-01,3
58,midsize,False,2.0,0,7.32,1.05,2.78,0,synthetic_v1,2026-07-01,3
59,startup,False,3.0,0,4.74,5.58,6.18,1,synthetic_v1,2026-07-01,4
60,startup,False,2.0,0,5.41,5.66,5.36,0,synthetic_v1,2026-07-01,1
61,midsize,False,2.0,0,3.38,5.24,2.82,0,synthetic_v1,2026-07-01,3
62,midsize,True,3.0,0,5.94,7.94,6.78,0,synthetic_v1,2026-07-01,1
63,midsize,True,2.0,0,6.31,8.16,7.19,0,synthetic_v1,2026-07-01,4
64,enterprise,True,1.0,1,6.66,5.69,6.75,1,synthetic_v1,2026-07-01,4
65,midsize,False,2.0,1,7.21,2.16,0.98,0,synthetic_v1,2026-07-01,3
66,midsize,True,3.0,0,6.02,7.11,4.93,0,synthetic_v1,2026-07-01,5
67,midsize,False,3.0,1,5.21,7.0,6.32,1,synthetic_v1,2026-07-01,3
68,startup,False,4.0,0,1.98,6.56,5.02,0,synthetic_v1,2026-07-01,0
69,startup,False,2.0,1,3.07,7.77,3.98,0,synthetic_v1,2026-07-01,3
70,midsize,False,2.0,0,5.16,3.9,3.96,0,synthetic_v1,2026-07-01,4
71,startup,False,1.0,0,4.59,9.62,7.64,0,synthetic_v1,2026-07-01,0
72,midsize,True,3.0,0,3.57,4.27,3.7,0,synthetic_v1,2026-07-01,0
73,enterprise,True,4.0,1,7.75,7.35,5.74,0,synthetic_v1,2026-07-01,1
74,startup,False,3.0,1,6.23,2.96,2.39,0,synthetic_v1,2026-07-01,5
75,startup,False,3.0,0,5.11,4.33,5.81,0,synthetic_v1,2026-07-01,3
76,startup,False,2.0,1,7.99,8.73,4.89,0,synthetic_v1,2026-07-01,5
77,startup,True,4.0,0,6.3,5.53,3.44,0,synthetic_v1,2026-07-01,5
78,midsize,True,2.0,0,3.2,7.51,5.52,0,synthetic_v1,2026-07-01,3
79,midsize,True,1.0,0,8.03,6.43,6.17,1,synthetic_v1,2026-07-01,4
80,enterprise,True,2.0,1,6.74,5.81,2.24,1,synthetic_v1,2026-07-01,1
81,midsize,False,1.0,1,8.08,8.45,4.11,0,synthetic_v1,2026-07-01,0
82,midsize,False,2.0,1,6.32,5.57,1.29,0,synthetic_v1,2026-07-01,2
83,enterprise,True,1.0,1,6.96,2.79,2.73,0,synthetic_v1,2026-07-01,3
84,startup,False,2.0,0,0.75,4.55,2.06,0,synthetic_v1,2026-07-01,1
85,startup,False,3.0,0,3.69,6.99,4.62,0,synthetic_v1,2026-07-01,1
86,startup,True,2.0,1,2.39,6.71,6.02,0,synthetic_v1,2026-07-01,0
87,enterprise,True,2.0,1,9.44,3.18,1.95,0,synthetic_v1,2026-07-01,4
88,midsize,False,4.0,0,7.73,4.7,4.16,1,synthetic_v1,2026-07-01,5
89,startup,False,3.0,0,2.57,4.95,3.52,0,synthetic_v1,2026-07-01,4
90,midsize,False,2.0,1,6.74,5.34,5.21,0,synthetic_v1,2026-07-01,2
91,startup,False,2.0,1,3.89,3.52,3.83,0,synthetic_v1,2026-07-01,3
92,midsize,True,3.0,1,5.07,4.87,2.88,1,synthetic_v1,2026-07-01,5
93,midsize,False,2.0,1,7.59,4.69,3.56,0,synthetic_v1,2026-07-01,3
94,midsize,False,2.0,0,4.93,7.39,7.0,0,synthetic_v1,2026-07-01,1
95,startup,False,4.0,1,8.33,7.46,6.06,1,synthetic_v1,2026-07-01,2
96,midsize,True,2.0,0,4.13,5.74,2.35,1,synthetic_v1,2026-07-01,4
97,midsize,False,3.0,1,8.0,5.29,5.16,0,synthetic_v1,2026-07-01,2
98,startup,False,3.0,0,4.18,6.25,3.12,0,synthetic_v1,2026-07-01,5
99,startup,False,3.0,1,6.63,4.53,5.84,0,synthetic_v1,2026-07-01,5
100,enterprise,True,2.0,1,6.9,3.94,4.9,0,synthetic_v1,2026-07-01,0
101,enterprise,True,2.0,1,7.61,4.31,4.02,0,synthetic_v1,2026-07-01,4
102,midsize,False,2.0,0,4.79,4.86,4.15,0,synthetic_v1,2026-07-01,2
103,startup,False,2.0,0,2.5,3.91,3.03,0,synthetic_v1,2026-07-01,3
105,enterprise,False,2.0,1,8.87,7.31,4.83,0,synthetic_v1,2026-07-01,2
106,enterprise,False,3.0,1,8.77,3.14,3.24,0,synthetic_v1,2026-07-01,1
107,midsize,True,3.0,1,8.97,6.05,5.94,0,synthetic_v1,2026-07-01,0
108,startup,True,3.0,0,6.61,5.6,3.52,0,synthetic_v1,2026-07-01,4
109,startup,False,2.0,1,4.53,6.61,4.04,0,synthetic_v1,2026-07-01,0
111,midsize,False,4.0,1,5.08,3.38,1.43,0,synthetic_v1,2026-07-01,1
112,startup,False,3.0,1,5.24,3.73,0.49,0,synthetic_v1,2026-07-01,0
113,startup,False,3.0,0,2.92,6.05,5.73,0,synthetic_v1,2026-07-01,2
114,midsize,False,4.0,1,9.12,7.85,8.42,0,synthetic_v1,2026-07-01,5
115,startup,False,3.0,0,4.65,2.01,4.35,0,synthetic_v1,2026-07-01,5
116,enterprise,True,2.0,1,7.31,6.62,2.53,0,synthetic_v1,2026-07-01,2
117,enterprise,True,3.0,1,9.85,8.14,6.97,1,synthetic_v1,2026-07-01,3
118,enterprise,True,1.0,1,3.79,5.72,6.57,0,synthetic_v1,2026-07-01,5
119,midsize,True,3.0,0,1.37,6.99,4.51,0,synthetic_v1,2026-07-01,1
120,midsize,False,4.0,0,6.43,4.73,3.99,0,synthetic_v1,2026-07-01,5
121,midsize,False,2.0,1,6.31,5.79,1.46,0,synthetic_v1,2026-07-01,0
122,midsize,True,2.0,1,6.65,3.08,3.25,0,synthetic_v1,2026-07-01,1
123,startup,False,1.0,1,2.81,1.78,0.47,0,synthetic_v1,2026-07-01,2
124,midsize,True,4.0,0,4.96,7.7,5.92,0,synthetic_v1,2026-07-01,0
125,startup,False,1.0,1,8.81,4.23,1.19,0,synthetic_v1,2026-07-01,4
126,midsize,False,1.0,0,6.48,5.18,4.92,0,synthetic_v1,2026-07-01,5
127,startup,False,2.0,1,5.51,3.5,4.64,0,synthetic_v1,2026-07-01,2
128,startup,True,1.0,0,3.21,3.46,1.9,0,synthetic_v1,2026-07-01,5
129,startup,False,2.0,1,4.49,5.69,2.71,0,synthetic_v1,2026-07-01,4
130,midsize,False,2.0,0,1.17,4.69,0.58,0,synthetic_v1,2026-07-01,4
131,startup,True,2.0,1,5.66,6.68,4.61,0,synthetic_v1,2026-07-01,4
132,enterprise,True,1.0,1,9.22,6.81,4.22,1,synthetic_v1,2026-07-01,3
133,midsize,False,1.0,0,2.16,6.58,2.62,0,synthetic_v1,2026-07-01,0
135,midsize,True,1.0,0,2.92,8.84,5.63,1,synthetic_v1,2026-07-01,3
136,startup,False,3.0,1,3.46,4.08,1.83,0,synthetic_v1,2026-07-01,5
137,enterprise,True,2.0,1,7.8,5.9,3.71,0,synthetic_v1,2026-07-01,5
138,midsize,True,2.0,0,1.25,8.04,7.43,1,synthetic_v1,2026-07-01,1
139,enterprise,True,2.0,1,8.81,8.28,6.87,0,synthetic_v1,2026-07-01,2
140,startup,False,2.0,0,5.36,3.44,2.87,0,synthetic_v1,2026-07-01,1
141,midsize,False,1.0,0,4.55,5.44,5.19,0,synthetic_v1,2026-07-01,0
142,midsize,True,1.0,1,1.73,8.44,4.33,0,synthetic_v1,2026-07-01,5
143,enterprise,True,3.0,1,5.91,6.91,5.2,0,synthetic_v1,2026-07-01,5
144,midsize,True,1.0,1,8.42,6.35,5.03,1,synthetic_v1,2026-07-01,5
145,midsize,True,2.0,0,0.0,5.61,3.66,0,synthetic_v1,2026-07-01,5
146,startup,False,2.0,0,3.37,5.31,4.84,0,synthetic_v1,2026-07-01,3
147,startup,True,2.0,0,1.88,6.52,3.74,1,synthetic_v1,2026-07-01,3
148,midsize,False,2.0,1,7.65,5.55,5.09,0,synthetic_v1,2026-07-01,5
149,midsize,True,3.0,1,4.98,5.92,5.38,0,synthetic_v1,2026-07-01,3
150,startup,False,3.0,0,4.73,6.14,0.31,0,synthetic_v1,2026-07-01,3
151,enterprise,True,2.0,1,8.72,4.78,5.65,1,synthetic_v1,2026-07-01,1
152,enterprise,False,2.0,1,10.0,6.96,0.6,1,synthetic_v1,2026-07-01,4
153,startup,False,2.0,0,3.63,10.0,6.08,0,synthetic_v1,2026-07-01,4
154,midsize,True,2.0,0,5.68,2.8,4.22,0,synthetic_v1,2026-07-01,4
155,startup,False,3.0,0,1.33,6.58,4.47,0,synthetic_v1,2026-07-01,2
156,midsize,True,2.0,1,8.34,4.63,1.58,0,synthetic_v1,2026-07-01,1
158,midsize,True,4.0,0,3.99,6.08,6.19,0,synthetic_v1,2026-07-01,3
159,enterprise,True,1.0,1,7.66,7.37,2.54,0,synthetic_v1,2026-07-01,4
160,enterprise,True,2.0,1,4.89,8.12,7.56,0,synthetic_v1,2026-07-01,4
161,startup,False,3.0,1,5.61,6.35,4.73,0,synthetic_v1,2026-07-01,5
162,enterprise,True,2.0,1,9.44,8.04,4.03,1,synthetic_v1,2026-07-01,2
163,startup,True,1.0,0,4.53,1.78,1.19,0,synthetic_v1,2026-07-01,4
164,startup,False,1.0,1,2.34,8.86,4.79,1,synthetic_v1,2026-07-01,4
