company_id,allocated_hours,company_size,h1b_history,fit_score
13,1,midsize,True,9.77
23,1,enterprise,True,7.58
260,1,midsize,True,9.46
257,1,enterprise,True,7.89
234,1,midsize,False,10.0
201,1,enterprise,True,8.14
197,1,midsize,True,10.0
182,1,enterprise,True,6.1
180,1,enterprise,True,7.17
174,1,enterprise,True,7.75
172,1,midsize,True,7.95
162,1,enterprise,True,8.04
139,1,enterprise,True,8.28
124,1,midsize,True,7.7
117,1,enterprise,True,8.14
73,1,enterprise,True,7.35
62,1,midsize,True,7.94
45,1,enterprise,True,9.6
25,1,enterprise,True,6.59
293,1,enterprise,True,9.08
